City,State,Type,Population [2011],Popuation [2001],Sex Ratio,Median Age,Avg Temp,SWM,Toilets Avl,Water Purity,H Index,Female Population,# of hospitals,Foreign Visitors,Covid Cases
Alirajpur,Madhya Pradesh,M,"65,232",,930,25,25,MEDIUM,98,,,,21,421365,2323
Alipurduar,West Bengal,M,"65,232",,957,27,29,LOW,62,,,,13,1489500,3076
Tandur,Telangana,M,"65,115",,924,29,28,MEDIUM,54,,,,26,126078,2677
Naidupet,Andhra Pradesh,M,"65,000",,902,23,36,LOW,85,,,,23,237854,2073
Tiruppur,Tamil Nadu,U.A,"64,725",,911,23,31,LOW,65,143,0.435588922,58964,14,4684707,4066
Tirupathur,Tamil Nadu,M,"64,125",,922,25,33,HIGH,82,105,0.507363139,59123,10,4684707,3506
Tohana,Haryana,M.C,"63,871",,842,28,34,MEDIUM,68,152,0.19366687,53779,23,303118,2355
Chikkaballapur,Karnataka,C.M.C,"63,652",,934,24,38,LOW,61,159,0.048153771,59451,11,636502,2240
Ratangarh,Rajasthan,M,"63,486",,855,29,32,HIGH,58,154,0.210722518,54281,27,1475311,2477
Dhubri,Assam,M.B,"63,388",,888,24,9,MEDIUM,89,130,0.096513624,56289,15,24720,2129
Masaurhi,Bihar,N.Pd,"63,248",,928,24,25,LOW,72,175,0.698658017,58694,29,923737,2225
Visnagar,Gujarat,M,"63,073",,843,26,26,MEDIUM,67,148,0.329043735,53171,15,284973,2190
Vrindavan,Uttar Pradesh,M.B,"63,005",,865,24,35,HIGH,80,109,0.938964612,54499,26,3104060,2074
Nokha,Rajasthan,M,"62,699",,872,29,31,LOW,52,156,0.275044602,54674,29,1475311,2526
Nagari,Andhra Pradesh,M,"62,253",,913,23,32,HIGH,65,118,0.913942839,56837,24,237854,2098
Chidambaram,Tamil nadu,T,"62,153",,907,29,34,LOW,74,143,0.43898665,56373,13,4684707,2628
Narwana,Haryana,M.Cl,"62,090",,829,29,35,LOW,79,148,0.237881435,51473,19,303118,2402
Ramanathapuram,Tamil Nadu,M,"62,050",,920,26,30,MEDIUM,62,148,0.165496323,57086,10,4684707,5132
Ujhani,Uttar Pradesh,N.P.P.,"62,039",,865,25,39,HIGH,70,110,0.717955585,53664,16,3104060,2160
Samastipur,Bihar,UA,"61,998",,914,26,35,HIGH,65,199,0.697652843,56666,12,923737,2374
Laharpur,Uttar Pradesh,N.P.P,"61,990",,886,27,30,MEDIUM,65,164,0.869022293,54923,13,3104060,2390
Sangamner,Maharashtra,M.Cl,"61,958",,884,29,26,LOW,52,186,0.794047902,54771,26,4408916,2561
Nimbahera,Rajasthan,M,"61,949",,871,28,26,LOW,95,199,0.778654102,53958,29,1475311,2436
Siddipet,Telangana,M,"61,809",,926,27,36,LOW,57,162,0.234731359,57235,11,126078,3151
Suri,West Bengal,M,"61,806",,949,29,40,LOW,85,149,0.191965205,58654,22,1489500,2750
Diphu,Assam,T.C,"61,797",,889,29,7,HIGH,95,124,0.086142892,54938,26,24720,2576
Jhargram,West Bengal,M,"61,712",,946,27,27,HIGH,75,179,0.658050716,58380,20,1489500,334
Shirpur-Warwade,Maharashtra,M.Cl,"61,694",,872,28,28,MEDIUM,87,155,0.94603355,53797,14,4408916,2439
Thrippunithura,Kerala,M,"61,632",,968,30,37,HIGH,98,188,0.746829105,59660,10,977479,2901
Thrissur,Kerala,M,"61,632",,967,32,30,HIGH,53,167,0.900663224,59598,13,977479,3092
Tilhar,Uttar Pradesh,N.P.P.,"61,444",,872,27,28,MEDIUM,65,197,0.216427325,53579,11,3104060,2352
Sindhnur,Karnataka,T.M.C,"61,262",,934,29,26,HIGH,74,106,0.391089908,57219,13,636502,2706
Udumalaipettai,Tamil Nadu,M,"61,133",,914,25,32,LOW,83,138,0.134305617,55876,29,4684707,2283
Malkapur,Maharashtra,M.Cl,"61,012",,890,28,37,LOW,53,145,0.251915873,54301,22,4408916,2490
Wanaparthy,Telangana,M,,,938,25,30,HIGH,84,187,0.384865364,57170,28,126078,1634
Gudur,Andhra Pradesh,M,,,896,26,33,LOW,55,169,0.711058208,54320,25,237854,2327
Kendujhar,Odisha,M,,,942,24,33,LOW,63,124,0.106190388,57076,10,66971,2259
Mandla,Madhya Pradesh,UA,,,911,28,35,LOW,76,178,0.841243786,55154,26,421365,2548
Piler,Andhra Pradesh,C.T,,,919,25,34,HIGH,70,154,0.516791006,55373,23,237854,2295
Nedumangad,Kerala,M,,,959,30,38,HIGH,65,115,0.984891145,57694,25,977479,2874
Gunupur,Odisha,M,,,943,25,35,MEDIUM,95,139,0.465529344,56580,23,66971,2355
North Lakhimpur,Assam,M.B,,,913,25,11,LOW,63,177,0.031631892,54610,29,24720,2280
Vinukonda,Andhra Pradesh,M,"59,725",,874,28,26,HIGH,54,107,0.764981633,52200,19,237854,2445
Mandideep,Madhya Pradesh,M,"59,654",,923,24,29,MEDIUM,85,197,0.801880843,55061,21,421365,2213
Tiptur,Karnataka,C.M.C,"59,543",,921,26,27,MEDIUM,86,176,0.31019972,54839,19,636502,2392
Gobichettipalayam,Tamil Nadu,M,"59,523",,903,24,34,LOW,66,109,0.726007206,53749,26,4684707,2165
Dhone,Andhra Pradesh,M,"59,272",,898,28,38,LOW,57,133,0.795494465,53226,29,237854,2512
Sunabeda,Odisha,N.A.C,"58,884",,955,25,37,HIGH,91,188,0.737534955,56234,30,66971,2385
Wani,Maharashtra,M.Cl.,"58,840",,874,24,38,MEDIUM,77,172,0.264726834,51426,22,4408916,2096
Upleta,Gujarat,M,"58,775",,845,29,40,HIGH,72,123,0.874730694,49665,30,284973,2448
Narasapuram,Andhra Pradesh,M,"58,770",,920,23,35,MEDIUM,52,159,0.756297091,54068,14,237854,2114
Nuzvid,Andhra Pradesh,M,"58,590",,926,24,35,HIGH,73,194,0.108702581,54254,24,237854,2220
Tezpur,Assam,M.B.,"58,559",,901,25,8,MEDIUM,94,159,0.022317482,52762,10,24720,2250
Una,Gujarat,M,"58,528",,863,24,36,HIGH,93,162,0.958529442,50510,10,284973,2069
Markapur,Andhra Pradesh,M,"58,462",,907,25,27,HIGH,96,125,0.280087579,53025,14,237854,2265
Sheopur,Madhya Pradesh,UA,"58,342",,922,24,31,LOW,57,165,0.575362358,53791,26,421365,2211
Thiruvarur,Tamil Nadu,M,"58,301",,901,24,29,LOW,83,116,0.098423012,52529,19,4684707,4816
Sidhpur,Gujarat,UA,"58,194",,847,23,40,HIGH,89,188,0.083519829,49290,21,284973,1946
Sahaswan,Uttar Pradesh,M.B,"58,184",,884,27,27,MEDIUM,64,174,0.40677465,51435,10,3104060,2384
Suratgarh,Rajasthan,M,"58,119",,859,23,37,LOW,59,144,0.105810638,49924,12,1475311,1974
Shajapur,Madhya Pradesh,UA,"57,818",,924,29,28,LOW,74,126,0.617464754,53424,20,421365,2677
Rayagada,Odisha,M,"57,759",,961,23,34,HIGH,64,148,0.646896802,55506,12,66971,2208
Lonavla,Maharashtra,M.Cl,"57,698",,887,28,40,MEDIUM,65,134,0.734080511,51178,26,4408916,2481
Ponnur,Andhra Pradesh,M,"57,640",,918,28,25,MEDIUM,99,114,0.549031032,52914,22,237854,2568
Kagaznagar,Telangana,M,"57,583",,923,29,28,HIGH,85,128,0.746332683,53149,30,126078,2674
Bhatapara,Chhattisgarh,M,"57,537",,956,23,32,MEDIUM,68,186,0.955974052,55005,16,6394,2197
Kandukur,Andhra Pradesh,M,"57,246",,891,26,28,MEDIUM,82,161,0.037570063,51006,24,237854,2314
Sangareddy,Telangana,M,"57,113",,932,24,30,MEDIUM,53,110,0.944622739,53229,20,126078,4023
Unjha,Gujarat,M,"57,108",,871,29,29,HIGH,70,135,0.686089081,49741,26,284973,2523
Lunglei,Mizoram,N.T,"57,011",,969,25,8,HIGH,74,171,0.690956596,55244,21,798,2420
Karimganj,Assam,M.B,"56,854",,900,23,11,MEDIUM,72,127,0.761793799,51169,11,24720,2068
Kannur,Kerala,M,"56,823",,974,29,28,LOW,93,124,0.676537862,55346,30,977479,2822
Bobbili,Andhra Pradesh,M,"56,819",,894,23,34,HIGH,81,107,0.27130672,50796,29,237854,2054
Mokameh,Bihar,M,"56,615",,924,23,25,HIGH,55,185,0.358316826,52312,18,923737,2123
Talegaon Dabhade,Maharashtra,M.Cl,"56,435",,872,25,27,LOW,85,152,0.672746415,49211,16,4408916,2178
Anjangaon,Maharashtra,M.Cl,"56,380",,881,26,31,LOW,68,142,0.475355277,49671,22,4408916,2288
Mangrol,Gujarat,UA,"56,320",,864,25,39,MEDIUM,95,116,0.15031884,48660,19,284973,2158
Sunam,Punjab,UA,"56,251",,886,28,27,MEDIUM,90,168,0.00981844,49838,21,242367,2478
Gangarampur,West Bengal,M,"56,175",,955,29,32,LOW,98,118,0.968341667,53647,28,1489500,2767
Thiruvallur,Tamil Nadu,M,"56,074",,913,24,39,MEDIUM,59,174,0.644200039,51196,26,4684707,27416
Pithoragarh,Uttarakhand,N.P.P,"56,044",,851,28,13,HIGH,98,159,0.615071246,47693,20,105882,528
Rath,Uttar Pradesh,M.B,"55,950",,873,23,26,LOW,76,127,0.517714775,48844,25,3104060,2006
Jatani,Odisha,M,"55,925",,939,25,38,MEDIUM,90,149,0.67711028,52514,20,66971,2345
Bellampalle,Telangana,M,"55,841",,928,25,30,HIGH,65,186,0.682022924,51820,21,126078,2318
Viramgam,Gujarat,M,"55,821",,845,28,27,HIGH,98,101,0.866782171,47169,26,284973,2364
Rajsamand,Rajasthan,M,"55,687",,870,27,30,LOW,92,199,0.507690425,48448,22,1475311,2347
Yanam,Puducherry,M,"55,626",,1023,23,40,LOW,89,133,0.89280862,,,106153,2351
Kottayam,Kerala,M,"55,374",,965,29,37,HIGH,53,184,0.337505727,53436,24,977479,2796
Panruti,Tamil Nadu,M,"55,346",,916,29,40,HIGH,71,181,0.514405026,50697,18,4684707,2654
Dhuri,Punjab,M.Cl,"55,225",,880,25,,LOW,76,172,0.848000602,48598,28,242367,2198
Challakere,Karnataka,C.M.C,"55,194",,939,24,32,MEDIUM,71,198,0.25525858,51827,13,636502,2252
Namakkal,Tamil Nadu,M,"55,145",,904,23,29,HIGH,82,177,0.604340946,49851,16,4684707,3004
Ramnagar,Uttarakhand,N.P.P,"54,787",,833,28,12,MEDIUM,97,158,0.434889363,45638,24,105882,2330
Sidhi,Madhya Pradesh,M,"54,331",,927,25,33,HIGH,79,195,0.129808404,50365,17,421365,2315
Kasaragod,Kerala,M,"54,172",,976,29,25,HIGH,92,118,0.194763069,52872,26,977479,2828
Modasa,Gujarat,M,"54,135",,842,26,32,HIGH,78,129,0.567413181,45582,30,284973,2187
Rayadurg,Andhra Pradesh,M,"54,125",,928,26,25,HIGH,68,138,0.588720191,50228,19,237854,2411
Supaul,Bihar,M,"54,085",,900,25,27,HIGH,52,121,0.755066336,48677,28,923737,2248
Kunnamkulam,Kerala,M,"54,071",,968,29,40,LOW,92,101,0.917571498,52341,11,977479,2805
Umred,Maharashtra,M.Cl,"53,971",,876,23,30,MEDIUM,99,115,0.216130141,47279,22,4408916,2013
Sibsagar,Assam,M.B,"53,854",,899,29,10,MEDIUM,62,163,0.043736493,48415,30,24720,2605
Mandi Dabwali,Haryana,M.C,"53,811",,832,26,27,MEDIUM,76,173,0.624482408,44771,29,303118,2161
Ottappalam,Kerala,M,"53,792",,963,31,26,HIGH,77,182,0.085783353,51802,18,977479,2983
Dumraon,Bihar,N.A.C,"53,618",,902,28,27,HIGH,79,165,0.68714453,48363,17,923737,2523
Samalkot,Andhra Pradesh,M,"53,602",,909,28,27,MEDIUM,99,188,0.310086639,48724,18,237854,2543
Jaggaiahpet,Andhra Pradesh,M,"53,530",,,,,MEDIUM,88,121,0.018629651,47213,19,237854,2203
Goalpara,Assam,M.B,"53,430",,,,,MEDIUM,62,121,0.408910954,48408,10,24720,2172
Tuni,Andhra Pradesh,M,"53,425",,875,29,38,MEDIUM,91,185,0.794995135,46747,17,237854,2535
Lachhmangarh,Rajasthan,M,"53,392",,849,29,36,MEDIUM,50,194,0.894732467,45330,27,1475311,2460
Bhongir,Telangana,M,"53,339",,928,29,31,LOW,60,185,0.369702304,49499,25,126078,2689
Amalapuram,Andhra Pradesh,M,"53,231",,874,26,38,HIGH,67,188,0.760845943,46524,30,237854,2270
Firozpur Cantt.,Punjab,C.B,"53,199",,885,29,39,MEDIUM,67,150,0.704052029,47081,22,242367,2564
Vikarabad,Telangana,M,"53,143",,927,29,27,HIGH,67,147,0.715420848,49264,13,126078,891
Manglaur,Uttarakhand,N.P.P.,"52,971",,833,24,15,MEDIUM,95,157,0.177672701,44125,19,105882,1997
Thiruvalla,Kerala,M,"52,883",,973,29,26,HIGH,85,116,0.028460162,51455,27,977479,2819
Sherkot,Uttar Pradesh,M.B,"52,880",,883,25,25,LOW,57,186,0.496717003,46693,20,3104060,2205
Palghar,Maharashtra,M.Cl,"52,677",,871,23,40,MEDIUM,82,199,0.593731977,45882,20,4408916,2001
Shegaon,Maharashtra,M.Cl,"52,423",,872,23,26,LOW,66,166,0.122788059,45713,30,4408916,2004
Jangaon,Telangana,M,"52,394",,925,25,26,MEDIUM,77,187,0.950781626,48464,30,126078,2310
Bheemunipatnam,Andhra Pradesh,M,"52,110",,909,25,34,HIGH,93,134,0.309234219,47368,15,237854,2270
Panna,Madhya Pradesh,UA,"52,057",,913,28,29,HIGH,57,108,0.613013303,47528,27,421365,2554
Thodupuzha,Kerala,M,"52,045",,972,29,25,MEDIUM,63,143,0.251821984,50588,10,977479,2816
Kathua,Jammu and Kashmir,M.Cl,"51,991",,908,26,8,MEDIUM,66,193,0.269989984,47208,29,58568,2359
Palitana,Gujarat,M,"51,944",,867,27,33,MEDIUM,81,148,0.918844915,45035,11,284973,2339
Arwal,Bihar,N.P.,"51,849",,910,25,39,MEDIUM,79,106,0.440229612,47183,12,923737,2273
Venkatagiri,Andhra Pradesh,M,"51,708",,887,25,37,MEDIUM,79,100,0.548848711,45865,17,237854,2215
Kalpi,Uttar Pradesh,NPP,"51,670",,882,26,34,LOW,90,110,,,,,2291
Rajgarh (Churu),Rajasthan,UA,"51,640",,870,26,26,HIGH,91,124,0.340973762,44927,13,1475311,2260
Sattenapalle,Andhra Pradesh,M,"51,404",,896,25,37,LOW,58,105,0.601696511,46058,19,237854,2238
Arsikere,Karnataka,T.M.C.,"51,336",,923,25,32,HIGH,63,177,0.20587987,47383,27,636502,2305
Ozar,Maharashtra,C.T,"51,297",,870,28,37,MEDIUM,90,123,0.48453468,44628,11,4408916,2434
Thirumangalam,Tamil Nadu,M,"51,194",,921,24,39,HIGH,86,156,0.958540204,47150,24,4684707,2208
Petlad,Gujarat,M,"51,147",,855,27,26,MEDIUM,52,136,0.277845017,43731,14,284973,2306
Sri Madhopur,Rajasthan,M,"51,000",,872,26,36,MEDIUM,78,200,0.894936832,44472,28,1475311,2265
Nasirabad,Rajasthan,C.B,"50,804",,876,26,26,LOW,65,171,0.296568956,44504,21,1475311,2275
Phaltan,Maharashtra,M.Cl,"50,800",,873,28,29,HIGH,98,115,0.494838939,44348,29,4408916,2442
Rampurhat,West Bengal,M,"50,613",,953,25,37,HIGH,58,153,0.069665037,48234,28,1489500,2380
Nanjangud,Karnataka,T.M.C,"50,598",,936,25,29,MEDIUM,55,105,0.078071226,47360,29,636502,2338
Jaspur,Uttarakhand,N.P.P,"50,523",,851,29,10,HIGH,61,154,0.806658963,42995,16,105882,2465
Forbesganj,Bihar,M,"50,475",,930,25,28,LOW,90,168,0.85562404,46942,25,923737,2323
Tundla,Uttar Pradesh,NPP,"50,423",,868,29,26,HIGH,50,132,0.255181351,43767,13,3104060,2515
Bhabua,Bihar,NP,"50,179",,906,26,28,LOW,80,101,0.28555061,45462,12,923737,2353
Sagara,Karnataka,T.M.C,"50,131",,940,27,28,MEDIUM,82,192,0.346714704,47123,25,636502,2536
Pithapuram,Andhra Pradesh,M,"50,103",,906,29,25,MEDIUM,57,133,0.318888338,45393,10,237854,2625
Sira,Karnataka,T.M.C,"50,088",,924,24,40,LOW,76,133,0.186556706,46281,24,636502,2216
Bhadrachalam,Telangana,C.T,"50,087",,923,28,28,MEDIUM,90,194,0.274420279,46230,23,126078,2582
Barbigha,Bihar,Np,"50,080",,923,28,25,HIGH,83,171,0.083325814,46224,29,923737,2582
Charkhi Dadri,Haryana,N.P.P,"49,985",,821,26,39,HIGH,85,191,0.593236668,41038,29,303118,2132
Chatra,Jharkhand,M,"49,985",,905,26,31,MEDIUM,70,104,0.430781271,45236,13,167785,2351
Palasa Kasibugga,Andhra Pradesh,N.P,"49,899",,924,25,39,LOW,71,151,0.765704446,46107,28,237854,2308
Nohar,Rajasthan,M,"49,835",,850,28,30,LOW,82,170,,,20,1475311,2378
Yevla,Maharashtra,M.Cl,"49,826",,886,28,25,LOW,65,102,0.624740622,44146,23,4408916,2478
Sirhind Fatehgarh Sahib,Punjab,M.Cl,"49,825",,872,26,40,LOW,65,142,0.806127943,43447,23,242367,2265
Bhainsa,Telangana,M,"49,764",,919,28,25,HIGH,85,106,0.123259734,45733,10,126078,2571
Parvathipuram,Andhra Pradesh,M,"49,714",,892,29,33,HIGH,72,174,0.914351998,44345,22,237854,2584
Shahade,Maharashtra,M.Cl,"49,696",,886,27,37,MEDIUM,71,153,0.059035819,44031,16,4408916,2390
Chalakudy,Kerala,M,"49,525",,968,29,34,HIGH,69,132,0.879425171,47940,23,977479,2805
Narkatiaganj,Bihar,N.Pd,"49,507",,923,25,35,MEDIUM,64,118,0.641151035,45695,11,923737,2305
Kapadvanj,Gujarat,M,"49,308",,861,27,30,HIGH,53,106,0.295148097,42454,28,284973,2322
Macherla,Andhra Pradesh,M,"49,221",,888,26,30,HIGH,94,167,0.236419289,43708,21,237854,2307
Raghogarh-Vijaypur,Madhya Pradesh,M,"49,173",,923,24,29,MEDIUM,59,181,0.622218169,45387,29,421365,2213
Rupnagar,Punjab,M.Cl,"49,159",,893,23,33,HIGH,92,180,0.020325433,43899,17,242367,2052
Naugachhia,Bihar,N.P,"49,069",,907,28,30,HIGH,58,138,0.788243345,44506,10,923737,2537
Sendhwa,Madhya Pradesh,M,"48,941",,928,23,26,MEDIUM,91,157,0.116238831,45417,23,421365,2132
Byasanagar,Odisha,M,"48,911",,952,27,31,HIGH,83,105,0.101491167,46563,23,66971,2568
Sandila,Uttar Pradesh,M.B,"48,899",,866,24,30,HIGH,96,125,0.527589944,42347,12,3104060,2076
Gooty,Andhra Pradesh,C.T,"48,658",,930,28,40,HIGH,96,176,0.597466675,45252,27,237854,2602
Salur,Andhra Pradesh,M,"48,354",,891,29,39,LOW,54,194,0.182587426,43083,20,237854,2581
Nanpara,Uttar Pradesh,N.P.P,"48,337",,882,23,37,MEDIUM,66,128,0.490544094,42633,12,3104060,2027
Sardhana,Uttar Pradesh,M.B,"48,314",,882,27,25,HIGH,73,105,0.552334037,42613,11,3104060,2379
Vita,Maharashtra,M.Cl,"48,289",,876,25,34,HIGH,61,104,0.757901428,42301,13,4408916,2188
Gumia,Jharkhand,C.T,"48,141",,900,27,40,MEDIUM,51,132,0.675552545,43327,15,167785,2428
Puttur,Karnataka,T.M.C,"48,070",,927,24,26,LOW,75,156,0.942870354,44561,26,636502,2223
Jalandhar Cantt.,Punjab,C.B,"47,845",,868,24,30,MEDIUM,92,165,0.513373935,41529,15,242367,2081
Nehtaur,Uttar Pradesh,N.P.P,"47,834",,883,23,38,MEDIUM,80,165,0.161089815,42237,24,3104060,2029
Changanassery,Kerala,M,"47,685",,969,29,40,MEDIUM,95,187,0.976226009,46207,29,977479,2808
Mandapeta,Andhra Pradesh,M,"47,638",,912,29,30,HIGH,65,191,0.481219213,43446,27,237854,2642
Dumka,Jharkhand,N.A.C,"47,584",,893,27,29,MEDIUM,57,189,0.544042185,42493,28,167785,2409
Seohara,Uttar Pradesh,UA,"47,575",,867,26,33,MEDIUM,79,116,0.251640073,41248,29,3104060,2252
Umarkhed,Maharashtra,M.Cl,"47,458",,876,28,34,LOW,90,121,0.828740214,41573,13,4408916,2450
Madhupur,Jharkhand,M,"47,326",,906,26,36,HIGH,88,116,0.495275766,42877,10,167785,2353
Rairangpur,Odisha,M,"47,294",,949,24,31,HIGH,59,153,0.608765386,44882,12,66971,2276
Vikramasingapuram,Tamil Nadu,M,"47,241",,901,27,39,HIGH,92,129,0.612441576,42564,25,4684707,2430
Punalur,Kerala,M,"47,235",,979,28,40,HIGH,52,185,0.299304894,46243,20,977479,2739
Kendrapara,Odisha,M,"47,006",,947,26,33,LOW,70,143,0.628830237,44515,23,66971,2460
Sihor,Gujarat,M,"46,960",,845,27,26,MEDIUM,94,134,0.894614269,39681,13,284973,2279
Nellikuppam,Tamil Nadu,M,"46,678",,919,25,32,LOW,64,170,0.202944954,42897,12,4684707,2295
Samana,Punjab,M.Cl,"46,592",,869,26,27,MEDIUM,90,128,0.65256477,40488,20,242367,2257
Warora,Maharashtra,M.Cl.,"46,532",,893,,,,,134,0.700051375,41553,26,4408916,2230
Nilambur,Kerala,C.T,"46,366",,973,28,25,LOW,53,125,0.397136362,45114,22,977479,2722
Rasipuram,Tamil Nadu,M,"46,330",,921,28,31,HIGH,73,176,0.740966362,42670,15,4684707,2576
Ramnagar,Uttarakhand,M.B,"46,205",,839,24,5,LOW,89,193,0.578552924,38766,26,105882,2012
Jammalamadugu,Andhra Pradesh,NP,"46,069",,890,28,25,MEDIUM,100,175,0.611223515,41001,18,237854,2490
Nawanshahr,Punjab,M.Cl,"46,024",,899,26,35,HIGH,97,117,0.862007849,41376,26,242367,2335
Thoubal,Manipur,M.Cl,"45,947",,979,25,15,LOW,76,194,0.617680449,44982,21,3260,2445
Attili,Andhra Pradesh,M,"45,858",,906,23,28,HIGH,93,175,0.748041928,41547,10,237854,2082
Athni,Karnataka,T.M.C.,"45,858",,938,23,32,HIGH,52,170,0.17004477,43015,16,636502,2155
Cherthala,Kerala,M,"45,827",,960,30,32,MEDIUM,61,189,0.213464878,43994,30,977479,2877
Farooqnagar,Telangana,C.T.,"45,675",,922,27,38,HIGH,69,174,0.095522145,42112,22,126078,2487
Peddapuram,Andhra Pradesh,M,"45,520",,909,23,38,HIGH,88,177,0.08925847,41378,30,237854,2089
Chirkunda,Jharkhand,NP,"45,508",,909,23,40,MEDIUM,99,150,0.402740007,41367,30,167785,2089
Pachora,Maharashtra,M.Cl,"45,333",,876,29,35,LOW,70,115,0.724296425,39712,17,4408916,2538
Madhepura,Bihar,M,"45,031",,908,27,28,MEDIUM,62,157,0.961622366,40888,20,923737,2449
Tumsar,Maharashtra,M.Cl,"44,869",,873,25,30,MEDIUM,66,151,0.238068187,39171,20,4408916,2180
Phalodi,Rajasthan,UA,"44,868",,855,27,34,MEDIUM,99,110,0.295191999,38362,22,1475311,2306
Tiruttani,Tamil Nadu,M,"44,781",,917,27,37,LOW,81,129,0.55890329,41064,17,4684707,2474
Rampura Phul,Punjab,UA,"44,665",,881,25,29,HIGH,87,145,0.788265337,39350,26,242367,2200
Perinthalmanna,Kerala,M,"44,612",,971,30,30,LOW,60,175,0.533865433,43318,11,977479,2910
Sainthia,West Bengal,M,"44,601",,946,29,26,HIGH,83,178,0.21164818,42193,21,1489500,2741
Angul,Odisha,M,"44,390",,950,24,29,LOW,94,113,0.887143701,42171,27,66971,2278
Padrauna,Uttar Pradesh,M.B,"44,383",,875,27,32,MEDIUM,93,102,0.787345119,38835,15,3104060,2360
Dalli-Rajhara,Chhattisgarh,M,"44,363",,973,25,29,HIGH,74,140,0.824264781,43165,23,6394,2430
Punganur,Andhra Pradesh,N.P,"44,314",,882,29,30,MEDIUM,95,105,0.990019402,39085,10,237854,2555
Mattannur,Kerala,M,"44,313",,965,30,39,LOW,55,181,0.165307014,42762,24,977479,2892
Thakurdwara,Uttar Pradesh,N.P.P.,"44,255",,878,25,32,MEDIUM,79,163,0.211555983,38856,12,3104060,2193
Nandivaram-Guduvancheri,Tamil Nadu,T.P,"44,098",,906,28,32,HIGH,80,122,0.025790223,39953,30,4684707,2534
Mulbagal,Karnataka,T.M.C,"44,033",,954,25,30,LOW,77,149,0.961020889,42007,29,636502,2383
Manjlegaon,Maharashtra,M.Cl,"44,029",,873,26,37,MEDIUM,56,165,0.747074049,38437,28,4408916,2268
Wankaner,Gujarat,M,"43,881",,858,25,26,HIGH,75,168,0.204682613,37650,16,284973,2143
Sillod,Maharashtra,M.Cl,"43,867",,869,28,39,HIGH,50,118,0.213918405,38120,11,4408916,2431
Nidadavole,Andhra Pradesh,M,"43,809",,929,24,30,HIGH,65,195,0.796102745,40699,17,237854,2228
Surapura,Karnataka,T.M.C,"43,622",,953,24,30,MEDIUM,99,109,0.658381814,41572,28,636502,2285
Rajagangapur,Odisha,M,"43,594",,952,23,26,HIGH,61,170,0.950256678,41501,11,66971,2188
Sheikhpura,Bihar,M,"43,113",,919,27,35,LOW,59,139,0.008755665,39621,19,923737,2479
Parlakhemundi,Odisha,M,"43,097",,942,25,31,HIGH,73,128,0.75084128,40597,21,66971,2353
Kalimpong,West Bengal,M,"42,998",,959,26,27,LOW,91,199,0.65125961,41235,26,1489500,579
Siruguppa,Karnataka,T.P,"42,919",,921,23,35,MEDIUM,80,178,0.751123997,39528,20,636502,2116
Arvi,Maharashtra,M.Cl,"42,822",,885,27,35,LOW,57,105,0.967724344,37897,28,4408916,2387
Limbdi,Gujarat,M,"42,769",,865,26,39,HIGH,98,166,0.365208567,36995,10,284973,2247
Barpeta,Assam,M.B,"42,649",,896,29,8,HIGH,55,186,0.158530176,38214,17,24720,2596
Repalle,Andhra Pradesh,M,"42,539",,930,23,27,HIGH,54,157,0.507003555,39561,24,237854,2137
Mudhol,Karnataka,T.M.C,"42,461",,923,27,31,MEDIUM,71,172,0.026749057,39192,21,636502,2490
Shujalpur,Madhya Pradesh,M,"42,461",,921,28,35,MEDIUM,70,100,0.962508237,39107,26,421365,2576
Mandvi,Gujarat,M,"42,355",,856,24,31,MEDIUM,54,169,0.219438567,36256,11,284973,2052
Thangadh,Gujarat,M,"42,351",,860,28,40,MEDIUM,71,197,0.742232436,36422,28,284973,2406
Sironj,Madhya Pradesh,M,"42,179",,930,25,40,HIGH,87,154,0.785924604,39226,21,421365,2323
Nandura,Maharashtra,M.Cl,"42,167",,893,26,29,MEDIUM,99,142,0.756911798,37655,18,4408916,2320
Shoranur,Kerala,M,"42,029",,966,30,37,LOW,51,108,0.82166313,40600,29,977479,2895
Nathdwara,Rajasthan,M,"42,016",,854,28,28,MEDIUM,86,153,0.409254076,35882,10,1475311,2389
Periyakulam,Tamil Nadu,M,"42,012",,911,28,25,HIGH,91,160,0.944316298,38273,29,4684707,2548
Golaghat,Assam,M.B,"41,989",,882,28,9,LOW,69,186,0.446131049,37034,20,24720,2467
Kichha,Uttarakhand,N.P.P,"41,965",,853,26,5,MEDIUM,79,133,0.535216793,35796,10,105882,2216
Sultanganj,Bihar,N.A,"41,958",,901,27,25,MEDIUM,61,165,0.275660854,37804,26,923737,2430
Medak,Telangana,N.P,"41,945",,919,24,34,LOW,76,198,0.218067838,38547,11,126078,2204
Barauli,Bihar,N.P.P.,"41,877",,907,24,28,HIGH,66,163,0.038863212,37982,28,923737,2175
Narayanpet,Telangana,N.P,"41,752",,922,29,25,LOW,59,171,0.196164259,38495,26,126078,2671
Raxaul Bazar,Bihar,M,"41,610",,907,27,36,MEDIUM,91,131,0.628509937,37740,23,923737,2447
Rajauri,Jammu and Kashmir,N.A.C,"41,552",,890,23,11,LOW,71,126,0.999773715,36981,30,58568,2045
Pernampattu,Tamil Nadu,T.P,"41,499",,915,23,38,LOW,56,173,0.794460006,37972,26,4684707,2103
Nainital,Uttarakhand,N.P.P,"41,377",,850,29,12,LOW,61,120,0.749081758,35170,20,105882,3695
